Height,Weight,d_loss_TO,t_step_S3,t_step_S2,t_step_S1,t_contact_S3,t_contact_S2,t_contact_S1,t_flight_S3,t_flight_S2,t_flight_S1,d_step_S3,d_step_S2,d_step_S1,r_stepDiff_S32,r_stepDiff_S21,v_H_S3,v_H_S2,v_H_S1,v_H_TO,v_V_TO,v_HDiff_TDO,v_TO,a_TO,a_body_TD,a_body_TO,a_trunk_TO,a_thigh_TO,w_thigh_TDO,a_knee_TD,a_kneeMin_TDO,a_kneeRange_TDO,w_knee_TDO,h_CMLower,a_hip_LD,a_knee_LD,a_trunk_LD,d_loss_LD,d_LD,d_resEffe,d_resOffi
1.88,78,0.06,0.215,0.25,0.2,0.09,0.115,0.12,0.125,0.135,0.08,2.37,2.56,2.31,8,-10,10.58,10.82,10,9.56,3.51,-1.1,10.18,20.2,-35.7,18.2,1,-15.4,472,179.9,134.5,45.4,-606,3,96.95268651,135.4276663,18.72089802,0.036725,0.672224841,8.5,8.44
1.85,75,0.03,0.195,0.23,0.2,0.09,0.11,0.13,0.105,0.12,0.07,2.16,2.18,2.15,1,-1,10.51,10.15,9.64,7.98,3.87,-2.08,8.87,25.9,-36.7,21.8,-7.3,-21.1,607,172.2,144.3,27.9,-699,3,92.79670119,134.7451937,19.75207262,0.088668056,0.582102619,8.35,8.32
1.78,74,0.08,0.21,0.25,0.185,0.09,0.115,0.12,0.12,0.135,0.065,2.29,2.43,2.16,6,-11,10.59,10.22,9.7,8.06,3.79,-2.8,8.91,25.2,-35.9,20,1.6,-26.7,492,176.1,151.7,24.4,-349,2,91.96908571,131.6746881,8.838094841,0.050198333,0.63469377,8.35,8.27
1.74,61,0.01,0.215,0.25,0.19,0.1,0.115,0.12,0.115,0.135,0.07,2.28,2.49,2.17,9,-13,10.22,10.01,9.68,9.43,3.93,-0.53,10.22,22.6,-38,18.8,1,-18.2,626,165.5,128,37.5,-626,4,94.10785794,128.9122377,10.59498611,0.034574167,0.645810317,8.27,8.26
1.82,70,0.03,0.21,0.23,0.205,0.085,0.1,0.12,0.125,0.13,0.085,2.15,2.37,2.15,10,-9,10.32,9.91,9.42,8.28,4.06,-2.61,9.22,26.1,-34.6,17.3,6,-19,476,178.8,134.4,44.4,-592,6,94.40801746,135.9109266,18.10204444,0.102409881,0.637655198,8.26,8.23
1.85,72,0.09,0.19,0.23,0.19,0.085,0.1,0.12,0.105,0.13,0.07,2.11,2.29,2.16,9,-6,10.47,10.38,9.86,9.19,3.81,-2.28,9.95,22.5,-37.1,18.8,10.4,-9.6,565,169.3,143,26.3,-351,5,87.82098016,132.4546921,28.65765238,0.050580952,0.611554841,8.32,8.23
1.84,72,0.08,0.21,0.255,0.19,0.09,0.11,0.12,0.12,0.145,0.07,2.34,2.53,2.15,8,-15,10.34,10.17,9.47,7.82,3.84,-2.79,8.71,26.2,-36.4,18.9,-5.4,-6.8,612,169.6,123.6,46,-574,1,96.41011746,130.4978817,12.8835373,0.060951032,0.6365775,8.26,8.18
1.8,75,0.09,0.225,0.225,0.2,0.09,0.12,0.12,0.135,0.105,0.08,2.32,2.33,2.27,0,-3,10.22,10.34,9.38,8.45,4.13,-1.41,9.41,26,-37,16.2,8.2,-16.5,504,169.4,158.7,10.7,-143,2,92.36751508,141.9212238,27.25058413,0.056844524,0.585419643,8.2,8.11
1.93,84,0.08,0.255,0.285,0.215,0.095,0.135,0.13,0.16,0.15,0.085,2.68,2.71,2.51,1,-7,10.07,10.32,9.36,8.24,4.08,-1.47,9.19,26.3,-37.5,16.8,-4.5,-14.7,533,172.5,139.9,32.6,-435,4,90.95601746,139.6907956,13.50887976,0.129198175,0.658150119,8.1,8.02
1.79,62,0.07,0.225,0.245,0.19,0.09,0.125,0.12,0.135,0.12,0.07,2.4,2.37,2.16,-1,-9,10.41,9.99,9.53,8.49,3.8,-1.35,9.3,24.1,-36,16.3,3.9,-5.4,679,176.5,145.9,30.6,-764,3,94.88840873,130.1462774,20.71508175,0.03459,0.600123095,8,7.93
1.88,80,0.02,0.205,0.23,0.19,0.09,0.11,0.125,0.115,0.12,0.065,2.18,2.3,2.17,6,-6,10.29,10.35,9.51,8.74,3.71,-1.7,9.49,23,-37.6,19,-5.3,-28.1,381,174.6,125.4,49.2,-757,1,94.63995992,131.5750024,10.29342302,0.066848532,0.614203214,7.93,7.91
1.8,82,0.05,0.216442627,0.246745286,0.189703071,0.092083856,0.11334769,0.122951231,0.125655222,0.135655921,0.068265413,2.3,2.62,2,14,-23,11.08,11.12,10.78,9.23,3.35,-1.55,9.82,20,-34.96441984,27,13,-9,794,169.9198048,137,29.18720541,-485.0464632,3.297404762,55,129,51,0,0.44,8.59,8.54
1.9,73,0.01,0.213591554,0.234740901,0.193329472,0.09002281,0.113960016,0.122324107,0.120819421,0.122954513,0.07221777,2.27,2.32,2.19,2,-6,10.36,10.44,10.34,8.67,3.79,-1.68,9.46,23.6,-35.40673254,26,9,-12,835,169.5034002,143,26.66508636,-478.5083492,2.988825397,96,151,74,0,0.55,8.48,8.47
1.84,83,0.07,0.224559389,0.253276798,0.196280516,0.092396016,0.117463258,0.123749123,0.132574836,0.138238457,0.072941881,2.45,2.63,2.42,7,-8,10.51,10.59,10.43,8.83,3.71,-1.6,9.58,22.8,-35.31742421,22,7,-5,797,171.3597417,143,29.57698438,-468.9147262,3.373503968,115,148,92,0,0.59,8.44,8.37
1.79,62,0.12,0.208529923,0.233830885,0.197577948,0.089806143,0.11201556,0.121902537,0.118796504,0.12319689,0.076096258,2.24,2.36,2.28,5,-3,10.3,10.33,10.28,7.99,4.23,-2.3,9.04,27.9,-35.75380826,28,12,15,938,170.0080846,147,27.08502172,-459.7982569,2.928289683,92,143,61,0,0.36,8.33,8.21
1.88,92,0.06,0.212128179,0.23387446,0.194978937,0.091587316,0.113824722,0.122332199,0.121547167,0.122776929,0.075125925,2.23,2.19,2.24,-2,2,10.36,10.39,10.44,9.16,3.14,-1.28,9.68,18.9,-34.41134246,23,5,4,863,167.8290976,149,26.15577089,-452.7585675,3.112793651,64,143,49,0,0.4,8.23,8.17
1.85,78,0,0.211551,0.25020177,0.19377994,0.092020844,0.112101349,0.124227837,0.120174111,0.140347259,0.069328282,2.24,2.59,2.16,16,-17,10.23,10.31,10.17,8.69,3.15,-1.48,9.24,19.9,-35.93006898,23,8,-9,764,168.6631234,139,34.64788997,-521.5241021,3.23618254,106,127,108,0,0.7,8.07,8.07
1.83,75,0.08,0.212943417,0.240436813,0.195828123,0.091092368,0.114534527,0.122993279,0.121121123,0.129036346,0.074605595,2.3,2.38,2.22,4,-7,10.51,10.61,10.41,9.17,3.17,-1.25,9.7,19.1,-34.93182857,26,9,-7,793,168.395385,136,28.31279563,-479.5166151,3.271996032,109,153,94,0,0.67,8.14,8.06
1.97,84,0.04,0.22265632,0.253023397,0.190700421,0.092760992,0.117630547,0.122751397,0.131303575,0.137003459,0.06900296,2.4,2.49,2.14,4,-14,10.33,10.4,10.31,8.53,3.72,-1.78,9.31,23.6,-35.69438128,30,14,-17,657,169.2033798,132,31.67095916,-501.4743611,3.140416667,94,133,76,0,0.47,8.1,8.06
