Height,Weight,d_loss_TO,t_step_S3,t_step_S2,t_step_S1,t_contact_S3,t_contact_S2,t_contact_S1,t_flight_S3,t_flight_S2,t_flight_S1,d_step_S3,d_step_S2,d_step_S1,r_stepDiff_S32,r_stepDiff_S21,v_H_S3,v_H_S2,v_H_S1,v_H_TO,v_V_TO,v_HDiff_TDO,v_TO,a_TO,a_body_TD,a_body_TO,a_trunk_TO,a_thigh_TO,w_thigh_TDO,a_knee_TD,a_kneeMin_TDO,a_kneeRange_TDO,w_knee_TDO,h_CMLower,a_hip_LD,a_knee_LD,a_trunk_LD,d_loss_LD,d_LD,d_resEffe,d_resOffi
1.66,58,0.01,0.21,0.225,0.19,0.105,0.105,0.12,0.105,0.12,0.07,2.04,2.06,2,1,-3,9.52,9.07,8.62,7.98,3.27,-1.01,8.62,22.3,-37,17.9,-0.2,-11.1,581,176.7,142.6,34.1,-682,2,96.45,135.85,-7,0.05,0.645,6.68,6.67
1.8,82,0.12,0.24,0.26,0.205,0.11,0.13,0.12,0.13,0.13,0.085,2.2,2.16,2.23,-2,3,9.16,8.92,8.55,8.09,3.07,-0.91,8.65,20.8,-36.3,13,9.9,-14.9,552,155.8,132.9,22.9,-459,2,74.15,141.45,21.25,0.145,0.62,6.69,6.57
1.81,71,0.16,0.24,0.24,0.17,0.105,0.11,0.115,0.135,0.13,0.055,2.04,2.3,1.97,13,-14,8.92,9.22,9.1,8.98,3.26,-1.41,9.55,20,-38.2,15.3,13.2,-22.7,393,174.3,150.6,23.7,-238,3,99.25,133.6,-1.45,0.135,0.635,6.71,6.55
1.81,63,0.01,0.245,0.25,0.185,0.105,0.115,0.105,0.14,0.135,0.08,1.97,2.15,2.08,9,-3,8.92,8.88,8.36,7.57,3.31,-1.4,8.26,23.6,-35.2,16.4,5.6,-17.8,515,177.5,145.2,32.3,-381,6,105.9,153.95,1.4,0.18,0.71,6.55,6.54
1.75,65,0.09,0.24,0.235,0.19,0.105,0.11,0.115,0.135,0.125,0.075,2,2.2,1.98,10,-10,9.06,9.2,8.67,7.78,2.65,-1.15,8.22,18.8,-34.4,18.1,2.7,-17.1,518,175.8,138.5,37.3,-533,1,69.6,119.5,15.3,0.085,0.57,6.63,6.54
1.6,49,0.03,0.225,0.23,0.18,0.1,0.11,0.105,0.125,0.12,0.075,2.05,2.13,2.02,4,-5,9.47,9.29,8.38,8.23,3.22,-1.06,8.84,21.4,-35.9,13.8,6.1,-16.4,549,168.5,132.3,36.2,-604,2,81.15,124.65,1.85,0.05,0.62,6.55,6.52
1.75,57,0.03,0.245,0.245,0.19,0.12,0.115,0.11,0.125,0.13,0.08,2.13,2.25,1.99,6,-12,8.93,9.02,8.52,7.37,2.51,-1.37,7.79,18.8,-35.1,17,12.7,-10.9,533,176.7,133.3,43.4,-543,3,69.6,119.5,15.3,0.085,0.57,6.49,6.46
1.73,64,0.08,0.2125,0.23,0.1875,0.1075,0.105,0.115,0.105,0.125,0.0725,1.91,2.45,1.97,28,-19,9.77,9.89,9.59,8.31,3.14,-1.28,8.88,20.7,-34.95,29,7,-1,859,167.95,128,27.15,-552.5,3.5,83,150,68,0,0.52,7.18,7.1
1.7,60,0,0.195,0.2275,0.185,0.1,0.1025,0.115,0.095,0.125,0.07,2.04,2.21,2.17,8,-2,9.38,9.53,9.34,7.62,3.4,-1.71,8.34,24,-35.8,25,11,-12,702,166.05,134,27.9,-565,3,84,148,70,0,0.49,6.97,6.97
1.72,55,0.05,0.2125,0.23,0.1875,0.1075,0.105,0.115,0.105,0.125,0.0725,2.06,2.16,1.95,5,-10,9.14,9.23,9.13,7.87,3.42,-1.26,8.58,23.5,-34.95,27,10,-8,855,167.95,136,27.15,-552.5,3.5,106,158,87,0,0.53,6.85,6.8
1.81,70,0.09,0.195,0.2275,0.185,0.1,0.1025,0.115,0.095,0.125,0.07,2.41,2.61,2.08,8,-20,9.33,9.47,9.43,8.1,3.22,-1.33,8.72,21.7,-35.8,28,9,-21,668,166.05,137,27.9,-565,3,85,135,75,0,0.49,6.86,6.77
1.73,62.5,0,0.2125,0.23,0.1875,0.1075,0.105,0.115,0.105,0.125,0.0725,2.17,2.32,2.09,7,-10,9.19,9.29,9.14,7.39,3.37,-1.75,8.12,24.5,-34.95,27,8,-1,840,167.95,141,27.15,-552.5,3.5,79,158,60,0,0.46,6.77,6.77
1.73,60,0.05,0.2125,0.23,0.1875,0.1075,0.105,0.115,0.105,0.125,0.0725,2.07,2.16,2.09,5,-3,9.25,9.34,9.07,7.64,3.1,-1.43,8.24,22.1,-34.95,27,6,-2,738,167.95,131,27.15,-552.5,3.5,82,128,77,0,0.44,6.76,6.71
1.73,61,0.13,0.2125,0.23,0.1875,0.1075,0.105,0.115,0.105,0.125,0.0725,2.3,2.44,2.28,6,-7,9.58,9.6,9.52,8.3,2.64,-1.22,8.71,17.6,-34.95,21,12,5,840,167.95,142,27.15,-552.5,3.5,69,137,66,0,0.49,6.81,6.68
1.68,53,0.02,0.2125,0.23,0.1875,0.1075,0.105,0.115,0.105,0.125,0.0725,1.91,2.15,1.94,12,-10,9.57,9.55,9.39,8.04,2.96,-1.35,8.57,20.2,-34.95,27,7,-16,802,167.95,138,27.15,-552.5,3.5,98,148,81,0.13,0.52,6.64,6.62
